,MRP,Price,ProductShortName,ReviewTitle,ReviewBody,ReviewStar,difference,sentiment
0,2990,1399,boAt Rockerz 255,"Honest review of an edm music lover
","['doubt', 'great', 'bass', 'great', 'extent', 'noise', 'cancellation', 'decent', 'sound', 'clarity', 'mindblowe', 'battery', 'follow', 'dissapointe', 'though', 'try', 'lot', 'adjustbluetooth', 'range', 'pain', 'ear', 'due', 'conical', 'budscan', 'remove', 'wire', 'bit', 'long', 'make', 'odd', 'front', 'pouch', 'provide', 'bad', 'part', 'low', 'quality', 'distore', 'mic', 'person', 'keep', 'complain', 'voice']",3,1591,1
1,2990,1399,boAt Rockerz 255,"Unreliable earphones with high cost
","['earphone', 'unreliable', 'buy', 'day', 'meanwhile', 'right', 'side', 'ear', 'bud', 'get', 'crack', 'automatically', 'get', 'divide', 'two', 'part', 'sound', 'quality', 'also', 'much', 'good', 'ok', 'one', 'thing', 'bass', 'good', 'boat', 'earphonesguysalso', 'proof', 'attach', 'picsplease', 'see', 'think', 'buying\u200b', 'unreliable', 'productthanks']",1,1591,0
2,2990,1399,boAt Rockerz 255,"Really good and durable.
","['buy', 'itfor', 'purchase', 'second', 'time', 'gift', 'first', 'one', 'brother', 'really', 'goodsound', 'quality', 'really', 'goodyou', 'connect', 'device', 'timei', 'connect', 'laptop', 'mobile', 'bothwhen', 'listen', 'muaic', 'lappy', 'you', 'get', 'call', 'switch', 'mobilethis', 'switch', 'device', 'good', 'price', 'awesomebattery', 'stand', 'hour', 'use', 'continously', 'hour', 'one', 'go', 'battery', 'life', 'pretty', 'awesomecomfortable', 'ear']",4,1591,1
3,2990,1399,boAt Rockerz 255,"stopped working in just 14 days
","['sound', 'quality', 'adorable', 'overall', 'good', 'week', 'stop', 'work', 'since', 'never', 'power', 'claim', 'warrenty', 'still', 'undergo']",1,1591,0
4,2990,1399,boAt Rockerz 255,"Just Awesome Wireless Headphone under 1000...😉
","['awesome', 'good', 'sound', 'quality', 'hr', 'battery', 'life', 'waww', 'look', 'wink', 'face', 'bring', 'rupeesbut', 'amazons', 'packageing', 'system', 'bad', 'poor', 'packaging', 'flipcarts', 'packaging', 'system', 'much', 'well', 'amazon']",5,1591,1
5,2990,1399,boAt Rockerz 255,"Charging port not working
","['day', 'charge', 'port', 'work', 'even', 'return', 'wat', 'know', 'one', 'year', 'warranty', 'day', 'cmon', 'boat', 'please', 'send', 'new', 'one']",1,1591,0
6,2990,1399,boAt Rockerz 255,"Loved the color and sound !!
","['sound', 'quality', 'life', 'quality', 'good', 'strong', 'magnetic', 'lock', 'straps', 'good', 'quality', 'earphone', 'wire', 'good', 'button', 'quality', 'good', 'sound', 'full', 'punchy', 'bass', 'balance', 'treble', 'sorrund', 'effect', 'good', 'fitting', 'ear', 'hope', 'connectivity', 'good', 'bcz', 'last', 'boat', 'bluetooth', 'basshead', 'connection', 'issue', 'worth', 'price', 'hope', 'packaging', 'good', 'bubble', 'wrap']",4,1591,1
7,2990,1399,boAt Rockerz 255,"Great sound with worst mic.
","['one', 'month', 'usage', 'review', 'pros', 'sound', 'bad', 'mic', 'use', 'ride', 'music', 'loud']",3,1591,1
8,2990,1399,boAt Rockerz 255,"Battery life is good enough to keep going all day
","['get', 'enough', 'earphone', 'bass', 'amaze', 'perfect', 'music', 'lover', 'battery', 'life', 'good', 'enough', 'keep', 'go', 'day', 'fact', 'connect', 'laptop', 'phone', 'time', 'switch', 'make', 'experience', 'much', 'well', 'use', 'earphone', 'lot', 'voice', 'call', 'let', 'must', 'buy', 'music', 'lover']",5,1591,1
9,2990,1399,boAt Rockerz 255,"Very very bad Durabity
","['product', 'durability', 'monthi', 'lose', 'bill', 'detail', 'claim', 'warrenty', 'earphone', 'build', 'quality', 'bad', 'stop', 'wrke', 'completely', 'month', 'sep', 'nov', 'backhand', 'index', 'point', 'left', 'life', 'span', 'lose', 'ur', 'bill', 'detail', 'incase', 'you', 'want', 'warranty', 'purchase', 'you', 'must', 'register', 'ur', 'product', 'boat', 'site', 'replacement', 'warranty']",1,1591,0
